Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
760,83.1,15,22,1.21,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
770,82.9,15,22,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
780,82.8,15,23,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
790,82.6,15,24,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
800,82.7,15,24,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
810,82.9,15,24,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
820,82.9,15,25,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
830,83,15,26,1.21,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
840,82.8,15,26,1.2,0.13,0,2,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
850,83.1,15,27,1.21,0.13,0,2,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
860,82.8,15,28,1.2,0.13,0,2,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
870,82.9,15,27,1.2,0.13,0,2,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
880,82.9,18,28,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
890,82.5,18,29,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
900,82.4,18,30,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
910,82.3,18,29,1.2,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
920,81.5,18,29,1.18,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
930,81.7,18,30,1.19,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
940,81.5,18,31,1.19,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
950,80.9,18,31,1.18,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
960,79.8,18,32,1.17,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
970,79.1,18,31,1.16,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
980,78.4,18,31,1.15,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
990,77.5,18,31,1.14,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
1000,75.9,18,32,1.12,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
1010,75,18,32,1.1,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
1020,74,18,32,1.09,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
1030,72.8,18,31,1.08,0.13,0,1,0,1,0,24,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
1040,71.7,18,31,1.06,0.13,0,1,0,1,0,25,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
1050,70.8,18,31,1.05,0.13,0,1,0,1,0,25,FALSE,FALSE,0,0,0,0,0,4,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,AI êº¼ì_,__ë§  ,AI êº¼ì_,0,0,0,
